# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.median.wait.ms,1717449141450000000,1717449181332000000,0
workspaceModel.moduleBridge.before.changed.ms,1717449141450000000,1717449181332000000,0
jps.facet.change.listener.process.change.events.ms,1717449141450000000,1717449181332000000,1
workspaceModel.moduleBridgeLoader.loading.modules.ms,1717449141450000000,1717449181332000000,391
jps.artifact.entities.serializer.save.entities.ms,1717449141450000000,1717449181332000000,0
jps.global.get.library.ms,1717449141450000000,1717449181332000000,0
jps.apply.loaded.storage.ms,1717449141450000000,1717449181332000000,67
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1717449141450000000,1717449181332000000,38
jps.app.storage.content.reader.load.component.ms,1717449141450000000,1717449181332000000,2
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1717449141450000000,1717449181332000000,0
jps.reload.project.entities.ms,1717449141450000000,1717449181332000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1717449141450000000,1717449181332000000,0
jps.project.serializers.load.ms,1717449141450000000,1717449181332000000,227
workspaceModel.save.cache.to.file.ms,1717449141450000000,1717449181332000000,89
jps.global.get.libraries.ms,1717449141450000000,1717449181332000000,0
workspaceModel.global.updates.ms,1717449141450000000,1717449181332000000,0
jps.save.global.entities.ms,1717449141450000000,1717449181332000000,3
workspaceModel.moduleManagerBridge.load.all.modules.ms,1717449141450000000,1717449181332000000,113
workspaceModel.mutableEntityStorage.replace.by.source.ms,1717449141450000000,1717449181332000000,29
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1717449141450000000,1717449181332000000,2
jps.library.entities.serializer.load.entities.ms,1717449141450000000,1717449181332000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1717449141450000000,1717449181332000000,0
jps.global.handle.before.change.events.ms,1717449141450000000,1717449181332000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1717449141450000000,1717449181332000000,101
jps.storage.jps.conf.reader.load.component.ms,1717449141450000000,1717449181332000000,31
workspaceModel.moduleBridge.update.option.ms,1717449141450000000,1717449181332000000,0
jps.global.initialize.library.bridges.ms,1717449141450000000,1717449181332000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1717449141450000000,1717449181332000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1717449141450000000,1717449181332000000,1
jps.module.iml.entities.serializer.save.entities.ms,1717449141450000000,1717449181332000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1717449141450000000,1717449181332000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1717449141450000000,1717449181332000000,0
jps.app.storage.content.writer.save.component.ms,1717449141450000000,1717449181332000000,1
jps.project.serializers.save.ms,1717449141450000000,1717449181332000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1717449141450000000,1717449181332000000,0
workspaceModel.sync.entities.ms,1717449141450000000,1717449181332000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1717449141450000000,1717449181332000000,0
workspaceModel.mutableEntityStorage.instances.count,1717449141450000000,1717449181332000000,21
workspaceModel.mutableEntityStorage.collect.changes.ms,1717449141450000000,1717449181332000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1717449141450000000,1717449181332000000,0
workspaceModel.mutableEntityStorage.entities.ms,1717449141450000000,1717449181332000000,1
workspaceModel.global.updates.count,1717449141450000000,1717449181332000000,0
workspaceModel.load.cache.metadata.from.file.ms,1717449141450000000,1717449181332000000,26
jps.load.initial.state.ms,1717449141450000000,1717449181332000000,16
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1717449141450000000,1717449181332000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1717449141450000000,1717449181332000000,2
workspaceModel.mutableEntityStorage.resolve.ms,1717449141450000000,1717449181332000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1717449141450000000,1717449181332000000,302
jps.global.initialize.library.bridges.after.loading.ms,1717449141450000000,1717449181332000000,1
jps.global.handle.changed.events.ms,1717449141450000000,1717449181332000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1717449141450000000,1717449181332000000,0
jps.library.entities.serializer.save.entities.ms,1717449141450000000,1717449181332000000,0
workspaceModel.do.save.caches.ms,1717449141450000000,1717449181332000000,106
